state,county,days_with_aqi,good_days,moderate_days,unhealthy_for_sensitive_groups_days,unhealthy_days,very_unhealthy_days,hazardous_days,max_aqi,x90th_percentile_aqi,median_aqi
Alabama,Baldwin,141,119,22,0,0,0,0,96,52,40
Alabama,Clay,58,50,8,0,0,0,0,64,52,27
Alabama,DeKalb,242,225,17,0,0,0,0,97,48,37
Alabama,Elmore,117,110,7,0,0,0,0,67,47,37
Alabama,Etowah,179,140,39,0,0,0,0,93,58,42
Alabama,Jefferson,182,89,91,2,0,0,0,105,74,51
Alabama,Madison,181,134,47,0,0,0,0,97,60,43
Alabama,Mobile,180,143,37,0,0,0,0,93,58,42
Alabama,Montgomery,181,148,33,0,0,0,0,95,58,41
Alabama,Morgan,181,136,45,0,0,0,0,97,60,43
Alabama,Russell,180,130,50,0,0,0,0,96,63,44
Alabama,Shelby,122,109,12,1,0,0,0,105,51,41
Alabama,Sumter,180,161,19,0,0,0,0,79,51,34
Alabama,Tuscaloosa,139,121,18,0,0,0,0,87,53,37
Alaska,Anchorage,244,214,29,1,0,0,0,125,54,21
Alaska,Denali,211,207,4,0,0,0,0,61,44,38
Alaska,Fairbanks North Star,201,140,45,8,7,1,0,280,85,39
Alaska,Juneau,188,171,17,0,0,0,0,89,46,14
Alaska,Matanuska-Susitna,238,221,17,0,0,0,0,83,35,10
Arizona,Apache,273,271,2,0,0,0,0,57,29,11
Arizona,Cochise,273,203,69,1,0,0,0,101,64,45
Arizona,Coconino,273,196,76,1,0,0,0,101,67,47
Arizona,Gila,273,158,97,16,2,0,0,177,90,48
Arizona,La Paz,267,187,79,1,0,0,0,130,71,45
Arizona,Maricopa,303,60,168,56,13,6,0,264,133,74
Arizona,Mohave,273,257,15,1,0,0,0,115,36,18
Arizona,Navajo,272,221,51,0,0,0,0,93,61,43
Arizona,Pima,273,157,108,8,0,0,0,142,78,48
Arizona,Pinal,271,73,174,23,1,0,0,159,100,66
Arizona,Santa Cruz,270,224,46,0,0,0,0,93,60,32
Arizona,Yavapai,273,249,24,0,0,0,0,87,49,42
Arizona,Yuma,273,169,95,9,0,0,0,142,80,46
Arkansas,Arkansas,35,31,4,0,0,0,0,60,54,28
Arkansas,Ashley,36,34,2,0,0,0,0,61,48,27
Arkansas,Clark,241,232,9,0,0,0,0,90,45,36
Arkansas,Crittenden,272,244,25,2,1,0,0,156,51,32
Arkansas,Garland,39,36,3,0,0,0,0,67,48,33
Arkansas,Jackson,37,32,5,0,0,0,0,67,55,28
Arkansas,Newton,181,169,11,1,0,0,0,105,48,39
Arkansas,Polk,192,186,4,2,0,0,0,105,47,36
Arkansas,Pulaski,272,190,81,1,0,0,0,115,61,43
Arkansas,Union,37,26,11,0,0,0,0,66,58,32
Arkansas,Washington,200,189,10,1,0,0,0,108,48,38
California,Alameda,244,170,72,2,0,0,0,122,61,41
California,Amador,181,173,8,0,0,0,0,71,45,35
California,Butte,187,144,43,0,0,0,0,90,67,43
California,Calaveras,180,155,25,0,0,0,0,67,54,38
California,Colusa,179,150,29,0,0,0,0,79,55,40
California,Contra Costa,244,185,59,0,0,0,0,97,57,42
California,Del Norte,171,163,8,0,0,0,0,70,40,23
California,El Dorado,181,150,30,1,0,0,0,105,58,43
California,Fresno,243,77,134,31,1,0,0,151,103,64
California,Glenn,176,163,13,0,0,0,0,93,48,40
California,Humboldt,274,269,5,0,0,0,0,68,32,23
California,Imperial,238,82,122,23,4,2,5,762,114,57
California,Inyo,304,162,125,11,2,2,2,1445,85,50
California,Kern,210,81,106,21,2,0,0,152,107,57
California,Kings,304,76,197,30,1,0,0,187,101,67
California,Lake,15,15,0,0,0,0,0,33,23,16
California,Los Angeles,182,18,131,21,12,0,0,192,129,69
California,Madera,120,70,48,2,0,0,0,112,79,48
California,Marin,244,230,14,0,0,0,0,87,46,33
California,Mariposa,212,158,53,1,0,0,0,136,64,45
California,Merced,90,41,47,2,0,0,0,115,85,53
California,Mono,181,146,18,2,4,1,10,7577,68,18
California,Monterey,182,166,16,0,0,0,0,63,49,39
California,Nevada,243,146,89,8,0,0,0,119,84,48
California,Orange,182,99,77,4,2,0,0,156,77,49
California,Placer,243,125,106,12,0,0,0,133,87,50
California,Plumas,243,147,80,14,2,0,0,157,92,40
California,Riverside,243,49,110,57,20,2,5,1564,151,77
California,Sacramento,211,155,51,5,0,0,0,118,80,40
California,San Benito,212,189,23,0,0,0,0,97,51,42
California,San Bernardino,211,27,121,41,20,2,0,225,151,76
California,San Diego,283,156,120,6,1,0,0,156,77,49
California,San Francisco,243,214,29,0,0,0,0,76,52,33
California,San Joaquin,182,123,56,3,0,0,0,109,84,43
California,San Luis Obispo,181,64,115,2,0,0,0,115,72,55
California,San Mateo,244,211,33,0,0,0,0,75,53,35
California,Santa Barbara,182,148,34,0,0,0,0,93,56,43
California,Santa Clara,244,178,64,2,0,0,0,112,64,42
California,Santa Cruz,181,170,11,0,0,0,0,54,47,35
California,Shasta,207,186,21,0,0,0,0,71,51,44
California,Solano,273,222,51,0,0,0,0,90,61,40
California,Sonoma,244,229,15,0,0,0,0,61,47,32
California,Stanislaus,186,103,76,7,0,0,0,111,91,48
California,Sutter,181,116,64,1,0,0,0,102,76,46
California,Tehama,191,172,19,0,0,0,0,100,50,39
California,Trinity,178,138,40,0,0,0,0,96,61,22
California,Tulare,212,70,96,44,2,0,0,156,119,67
California,Tuolumne,180,177,3,0,0,0,0,71,45,37
California,Ventura,243,141,98,4,0,0,0,140,80,48
California,Yolo,254,214,40,0,0,0,0,100,54,41
Colorado,Adams,281,148,119,14,0,0,0,126,90,50
Colorado,Arapahoe,276,155,109,12,0,0,0,129,87,48
Colorado,Archuleta,306,254,48,3,0,1,0,227,58,44
Colorado,Boulder,275,168,100,7,0,0,0,129,80,48
Colorado,Clear Creek,264,164,97,3,0,0,0,108,71,49
Colorado,Delta,143,126,17,0,0,0,0,80,54,44
Colorado,Denver,281,152,122,7,0,0,0,112,84,49
Colorado,Douglas,275,166,91,17,1,0,0,169,90,49
Colorado,El Paso,276,171,103,2,0,0,0,115,77,48
Colorado,Fremont,74,71,3,0,0,0,0,77,28,12
Colorado,Garfield,272,248,24,0,0,0,0,84,50,43
Colorado,Gilpin,273,196,73,4,0,0,0,112,74,46
Colorado,Gunnison,242,194,47,1,0,0,0,108,64,46
Colorado,Jackson,31,24,7,0,0,0,0,71,51,46
Colorado,Jefferson,273,143,99,30,1,0,0,166,101,50
Colorado,La Plata,306,210,95,1,0,0,0,108,74,47
Colorado,Larimer,274,137,129,8,0,0,0,126,87,51
Colorado,Mesa,276,219,56,1,0,0,0,108,58,45
Colorado,Montezuma,273,218,55,0,0,0,0,87,61,45
Colorado,Pitkin,68,66,2,0,0,0,0,58,32,13
Colorado,Prowers,221,202,18,0,1,0,0,158,44,17
Colorado,Pueblo,235,221,11,3,0,0,0,121,42,19
Colorado,Rio Blanco,243,162,79,2,0,0,0,122,67,47
Colorado,Routt,220,220,0,0,0,0,0,43,28,16
Colorado,San Miguel,76,75,1,0,0,0,0,68,36,15
Colorado,Weld,277,125,142,10,0,0,0,133,90,51
Connecticut,Fairfield,181,129,48,4,0,0,0,140,62,44
Connecticut,Hartford,181,146,34,1,0,0,0,112,60,41
Connecticut,Litchfield,182,165,16,1,0,0,0,101,50,40
Connecticut,Middlesex,121,108,13,0,0,0,0,100,54,40
Connecticut,New Haven,182,134,47,1,0,0,0,105,63,42
Connecticut,New London,181,161,20,0,0,0,0,80,51,37
Connecticut,Tolland,116,107,9,0,0,0,0,90,49,40
Connecticut,Windham,238,222,16,0,0,0,0,93,49,38
Country Of Mexico,BAJA CALIFORNIA NORTE,273,68,159,29,17,0,0,167,125,61
Country Of Mexico,SONORA,273,161,110,2,0,0,0,115,72,47
Delaware,Kent,59,47,12,0,0,0,0,71,55,37
Delaware,New Castle,60,41,19,0,0,0,0,75,63,42
Delaware,Sussex,59,49,10,0,0,0,0,72,54,37
District Of Columbia,District of Columbia,213,153,56,4,0,0,0,128,67,43
Florida,Alachua,181,164,17,0,0,0,0,84,50,40
Florida,Baker,181,153,28,0,0,0,0,87,54,41
Florida,Bay,181,141,40,0,0,0,0,99,58,42
Florida,Brevard,181,154,27,0,0,0,0,80,54,42
Florida,Broward,182,142,40,0,0,0,0,100,56,44
Florida,Citrus,176,160,16,0,0,0,0,68,49,35
Florida,Collier,179,169,10,0,0,0,0,79,47,38
Florida,Columbia,179,147,32,0,0,0,0,90,58,41
Florida,Duval,182,127,55,0,0,0,0,90,61,45
Florida,Escambia,181,129,51,1,0,0,0,133,64,45
Florida,Flagler,181,173,8,0,0,0,0,100,47,38
Florida,Hamilton,123,101,22,0,0,0,0,70,54,40
Florida,Highlands,179,167,11,1,0,0,0,112,48,39
Florida,Hillsborough,181,119,61,1,0,0,0,126,67,46
Florida,Holmes,181,139,42,0,0,0,0,90,56,42
Florida,Indian River,239,231,8,0,0,0,0,67,47,34
Florida,Lake,181,169,12,0,0,0,0,87,50,40
Florida,Lee,181,154,27,0,0,0,0,80,54,41
Florida,Leon,180,135,45,0,0,0,0,92,59,42
Florida,Liberty,233,224,9,0,0,0,0,74,47,32
Florida,Manatee,169,158,11,0,0,0,0,80,49,38
Florida,Marion,180,151,29,0,0,0,0,93,55,42
Florida,Martin,181,166,14,1,0,0,0,108,49,40
Florida,Miami-Dade,182,158,22,2,0,0,0,136,55,41
Florida,Okaloosa,170,155,15,0,0,0,0,84,49,39
Florida,Orange,181,154,27,0,0,0,0,97,54,41
Florida,Osceola,181,169,12,0,0,0,0,80,49,38
Florida,Palm Beach,181,153,28,0,0,0,0,89,54,40
Florida,Pasco,181,155,26,0,0,0,0,87,51,42
Florida,Pinellas,181,140,41,0,0,0,0,87,58,44
Florida,Polk,181,152,29,0,0,0,0,87,55,41
Florida,Putnam,151,151,0,0,0,0,0,44,29,18
Florida,Santa Rosa,181,138,42,1,0,0,0,109,60,43
Florida,Sarasota,181,140,41,0,0,0,0,100,58,43
Florida,Seminole,181,160,21,0,0,0,0,87,51,40
Florida,St. Lucie,175,169,6,0,0,0,0,77,48,37
Florida,Volusia,181,148,33,0,0,0,0,93,56,42
Florida,Wakulla,182,153,29,0,0,0,0,96,55,41
Georgia,Bibb,273,229,44,0,0,0,0,90,55,38
Georgia,Chatham,273,229,44,0,0,0,0,97,57,39
Georgia,Chattooga,214,205,9,0,0,0,0,77,47,35
Georgia,Clarke,243,183,60,0,0,0,0,87,60,44
Georgia,Clayton,70,60,10,0,0,0,0,69,54,33
Georgia,Cobb,203,181,22,0,0,0,0,93,51,39
Georgia,Coffee,71,65,6,0,0,0,0,71,46,28
Georgia,Columbia,184,178,6,0,0,0,0,71,47,34
Georgia,Dawson,214,207,6,1,0,0,0,136,47,35
Georgia,DeKalb,274,198,74,2,0,0,0,147,62,43
Georgia,Dougherty,241,166,70,4,1,0,0,151,61,36
Georgia,Douglas,212,186,25,1,0,0,0,133,54,38
Georgia,Floyd,236,213,23,0,0,0,0,81,50,29
Georgia,Fulton,274,192,79,2,1,0,0,169,63,45
Georgia,Glynn,273,238,34,1,0,0,0,106,53,37
Georgia,Gwinnett,240,188,52,0,0,0,0,97,59,42
Georgia,Hall,242,196,46,0,0,0,0,76,55,36
Georgia,Henry,229,188,38,3,0,0,0,105,61,38
Georgia,Houston,243,198,44,1,0,0,0,102,57,33
Georgia,Lowndes,232,178,54,0,0,0,0,100,61,35
Georgia,Murray,181,156,24,1,0,0,0,105,54,40
Georgia,Muscogee,243,198,43,2,0,0,0,149,56,40
Georgia,Pike,218,196,22,0,0,0,0,100,51,36
Georgia,Richmond,273,216,57,0,0,0,0,99,58,40
Georgia,Rockdale,213,186,27,0,0,0,0,90,54,39
Georgia,Sumter,207,194,13,0,0,0,0,93,47,34
Georgia,Walker,235,154,81,0,0,0,0,87,62,43
Georgia,Washington,241,179,59,3,0,0,0,112,59,40
Hawaii,Hawaii,209,207,2,0,0,0,0,58,38,26
Hawaii,Honolulu,182,181,0,1,0,0,0,142,36,29
Hawaii,Kauai,90,90,0,0,0,0,0,34,19,10
Hawaii,Maui,181,179,2,0,0,0,0,72,28,18
Idaho,Ada,182,147,35,0,0,0,0,74,58,43
Idaho,Bannock,263,196,66,1,0,0,0,106,67,40
Idaho,Benewah,181,148,33,0,0,0,0,72,58,30
Idaho,Blaine,173,173,0,0,0,0,0,44,29,17
Idaho,Boise,181,157,24,0,0,0,0,62,52,23
Idaho,Bonner,181,177,4,0,0,0,0,61,35,19
Idaho,Bonneville,176,168,8,0,0,0,0,70,40,19
Idaho,Butte,212,197,15,0,0,0,0,71,50,43
Idaho,Canyon,181,152,29,0,0,0,0,73,58,26
Idaho,Franklin,181,159,22,0,0,0,0,79,54,15
Idaho,Idaho,302,261,32,3,4,2,0,238,59,36
Idaho,Kootenai,181,179,2,0,0,0,0,57,25,10
Idaho,Latah,177,177,0,0,0,0,0,25,5,0
Idaho,Lemhi,181,131,49,1,0,0,0,112,67,24
Idaho,Nez Perce,302,275,21,2,4,0,0,180,47,19
Idaho,Shoshone,181,147,33,1,0,0,0,108,58,23
Idaho,Twin Falls,169,160,9,0,0,0,0,77,45,18
Idaho,Valley,170,137,33,0,0,0,0,98,64,23
Illinois,Adams,206,199,7,0,0,0,0,71,48,39
Illinois,Champaign,273,224,48,1,0,0,0,126,58,40
Illinois,Clark,172,156,15,1,0,0,0,101,49,36
Illinois,Cook,274,157,109,7,1,0,0,151,77,48
